shortcode,url,published_at,timestamp,likes,views,duration,caption,thumbnail,username,type
DaJqLnShg1L,https://www.instagram.com/reel/DaJqLnShg1L/,2026-06-29T01:12:58.000Z,1782695578000,,,,"hojetemjp no June 28, 2026: ""Siga @joaopessoapboficial o instagram oficial da cidade 😍"".",https://scontent.cdninstagram.com/v/t51.71878-15/731387831_3553676438116775_3662085604774797191_n.jpg?stp=cmp1_dst-jpg_e35_s640x640_tt6&_nc_cat=109&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=pkdgFMzedeUQ7kNvwHnfqYp&_nc_oc=Adp_GRr4Z1oVhaC8i-YK36dCc2Y1t7U1-o0vlhasQ2HuScM3xi6XXv6uTXI7FhYwRK0zjT02t9ek_YxrhZnFjvfb&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=YlLoOGrj_5HBXYimRO-vqA&_nc_ss=7b689&oh=00_Af94tX7rWEdw17rQRenWVV-bMRlsfcB9pNueLacwhSOkBg&oe=6A47A814,hojetemjp,reel
DaJaSkLBVfZ,https://www.instagram.com/reel/DaJaSkLBVfZ/,2026-06-28T22:55:39.000Z,1782687339000,,,,"hojetemjp no June 28, 2026: ""🚨MELHOR COMIDA DO NORDESTE? Influencer @grazieats faz vídeo comendo em João Pessoa e culinária surpreende"".",https://scontent.cdninstagram.com/v/t51.82787-15/734089588_18605755099000031_6887213298857832632_n.jpg?stp=cmp1_dst-jpg_e35_s640x640_tt6&_nc_cat=104&ccb=7-5&_nc_sid=18de74&_nc_aid=0&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=AmX8g8-MemQQ7kNvwFIRXGB&_nc_oc=Adpt6YlZp5iDgTwA3vjL_BhcWyAQiVt6HiohdUO4wRf9K1sOpjhj8h8qhyyP68PynAaKyJrGgNGq6OkSM8XmD1PO&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=ujk1Q2TR2emClsU64V1sKQ&_nc_ss=7b689&oh=00_Af_DwdYMx7hO572jBzzYgPU07Bu_cRXRNjOZqfkTAc5ffA&oe=6A47B840,hojetemjp,reel
DaGgyR1BkYz,https://www.instagram.com/reel/DaGgyR1BkYz/,2026-06-27T19:53:12.000Z,1782589992000,,,,"hojetemjp no June 27, 2026: ""Marca aí seus amigos que precisam saber disso! 🚨Novidade! Hamburgueria deliciosa para você conhecer no ano de 2026 em João Pessoa: conheça a @hamburgueriaphilipeia! 📍Rua Nevinha Cavalcante, 28 - Miramar"".",https://scontent.cdninstagram.com/v/t51.82787-15/729356854_18605353750000031_423898831985856635_n.jpg?stp=cmp1_dst-jpg_e35_s640x640_tt6&_nc_cat=100&ccb=7-5&_nc_sid=18de74&_nc_aid=0&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=FarLh-zQHk4Q7kNvwFIft7H&_nc_oc=Adp_o5rZmhgInBNcH6XD2_BMGUZqV89w5IGMLHjzaaZV3VQ6OTCxUTS61TJln3ZjGsKCtIByGDunPLqSADv6XuNm&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=5mDlRzg36DgzPz18L1gJyg&_nc_ss=7b689&oh=00_Af_Gs9gLX1p13PZ5hj8fCyx5FhIR56pPHzPPHY1EqbegPQ&oe=6A47C076,hojetemjp,reel
DaGGOYXBm36,https://www.instagram.com/reel/DaGGOYXBm36/,2026-06-27T16:00:57.000Z,1782576057000,,,,"""🚨 DE JOÃO PESSOA PARA O MUNDO! 🇧🇷 O paraibano Matheus Cunha viralizou nas redes sociais após compartilhar uma reflexão inspiradora sobre o sonho de conquistar a Copa do Mundo com a Seleção Brasileira. Durante a conversa, o atacante destacou que o medo faz parte da caminhada de qualquer atleta, mas que ele jamais pode ser maior do que o sonho. Para Cunha, antes de levantar a taça, é preciso acreditar que o hexacampeonato é possível. A mensagem emocionou torcedores e rapidamente ganhou repercussão nas redes sociais, reforçando a confiança da torcida brasileira às vésperas do duelo decisivo da Seleção. E você, acredita que o Brasil pode conquistar o hexa? 🇧🇷🏆"".",https://scontent.cdninstagram.com/v/t51.71878-15/728912110_1545675027018048_1755846938249956603_n.jpg?stp=cmp1_dst-jpg_e35_s640x640_tt6&_nc_cat=101&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=XXsr-CV8CuwQ7kNvwF9boYx&_nc_oc=AdoJ8Pf-KUvxlJIVi1vDV8xOwae-s9SMaidCvTFXWkow_0RCzaGSFXzQPO1OduOlXvcu-smQ3RAdsi8x3a_N_UL_&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=uoud33Sws6DS_983hD8Vgw&_nc_ss=7b689&oh=00_Af_XPWMSLCSSrQKsMrzMmdNKjMOTfTmJGSiJxpcOcWdKGg&oe=6A47CF65,hojetemjp,reel
DaEnXKghWoe,https://www.instagram.com/reel/DaEnXKghWoe/,2026-06-27T02:11:58.000Z,1782526318000,1439,,,"""🚨Quando tu vem a @joaopessoapboficial? 😍"".",https://scontent.cdninstagram.com/v/t51.82787-15/729282170_18605100097000031_3103992899349972610_n.jpg?stp=cmp1_dst-jpg_e35_s640x640_tt6&_nc_cat=104&ccb=7-5&_nc_sid=18de74&_nc_aid=0&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=Lq9D1_BVfqkQ7kNvwGSnZbQ&_nc_oc=AdoH9ipLrcRxhhWR4RU-YOzd8crbSx1jXbyJCvXm3v3LFC0BJmMivnQF9tyNWIhRSDyjUKdN3OMrcclrrG3242-8&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=LuTlrfufI_VZf78E71bXbQ&_nc_ss=7b689&oh=00_Af9ZL1HTPw17p9ICMBvmIsO16yeXNTexAIzPZRPG_Gl71g&oe=6A47D372,hojetemjp,reel
DaDgqbFhaoA,https://www.instagram.com/reel/DaDgqbFhaoA/,2026-06-26T15:55:03.000Z,1782489303000,,,,"hojetemjp no June 26, 2026: ""Marca aí seus amigos que precisam saber disso! 🚨Vocês precisam conhecer esse Bar super diferente em João Pessoa: conheça o @jardimdoespetobessa 😋 Por aqui tem muita comida regional e um cardápio super completo que agrada a todos! Esse é o Jardim do Espeto, um bar bem charmoso que faz sucesso no Bessa! ❤️ Ambiente amplo 🎵 Musica ao vivo 🧒 Espaço Kids Mais informações, siga @jardimdoespetobessa."".",https://scontent.cdninstagram.com/v/t51.82787-15/729760577_18604946941000031_1588755429630601057_n.jpg?stp=cmp1_dst-jpg_e35_s640x640_tt6&_nc_cat=107&ccb=7-5&_nc_sid=18de74&_nc_aid=0&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=slmUBAESBRoQ7kNvwH28s4g&_nc_oc=AdqVdhofUvPnWeaRTuGWVoxYZVSIeZsTMFV9mdBpMBtiWjiwRYpa6vG4uNf4elBi8xtxCg_lSEr54vxMM_bK01F0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=OTPbLn5JIy3eDMt1YPAsjA&_nc_ss=7b689&oh=00_Af_9yPnKOZGTlWkx3QVLCVgKPAOcVdGdTKbGghFFbS6NEQ&oe=6A47C7F7,hojetemjp,reel
DaBesoRhNZc,https://www.instagram.com/reel/DaBesoRhNZc/,2026-06-25T21:16:30.000Z,1782422190000,,,,"hojetemjp no June 25, 2026: ""Marca aí seus amigos que precisam saber disso! Vocês precisam conhecer o @camaraogrill: um bar de gigante a beira mar do Bessa em João Pessoa! Eles fazem esses pratos deliciosos e muito mais: 🦀 Camarão Canto no Mangue: Camarão cremoso no molho, com arroz cremoso de caranguejo, macaxeira frita e salada. 🍤 Rubacão de Camarão 🥩 Picanha grelhada na chapa 🐠 Peixe com Camarão 🏝️ Beira mar do Bessa 👧 Piscina infantil 🍹 Drinks E muito maaaais! O Bar é tão grande que é impossível mostrar tudo! 📍Av Argemiro de Figueiredo, 4774 Mais informações, sigam @camaraogrill"".",https://scontent.cdninstagram.com/v/t51.82787-15/729384325_18604720168000031_6002036237068477912_n.jpg?stp=cmp1_dst-jpg_e35_s640x640_tt6&_nc_cat=102&ccb=7-5&_nc_sid=18de74&_nc_aid=0&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=lA5bOLiqf1AQ7kNvwF-N-I6&_nc_oc=AdqUwA9bixDnFmwSzG438ddCQdqYjd2qQcMuY2x39cz97sXVrG6u_Hy5kz6W6wFCpD3aazeFq1fRlnCzumv7ISy9&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=CEwHgjjJytu_CHjAQ_15Nw&_nc_ss=7b689&oh=00_Af-k8Fy1at1H6EiS4CmT1fMEipqF08PrGBdbvxhuALrBww&oe=6A47B659,hojetemjp,reel
DaA54QEhUAI,https://www.instagram.com/reel/DaA54QEhUAI/,2026-06-25T15:37:22.000Z,1782401842000,,,,"até o banheiro chama atenção 👀 📍 Novo point da Zona Sul pra quem ama comida oriental com experiência diferente ⏰ Abre todos os dias no almoço e jantar Marca aqui quem vai contigo conhecer esse lugar 😮‍🔥👇"".",https://scontent.cdninstagram.com/v/t51.82787-15/729716713_18604631836000031_3532904337567140023_n.jpg?stp=cmp1_dst-jpg_e35_s640x640_tt6&_nc_cat=102&ccb=7-5&_nc_sid=18de74&_nc_aid=0&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=XUHBMxjiCscQ7kNvwHIJC9l&_nc_oc=Adr7F5abNFsKA30hm1OEhrn8sii_xtWt4A1Bp6uGLI8tmjCW_KdeKTigTGqQhTF9e33xek7fjDuLAVOeRkvinjTX&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=d5WrmPqSZ595Lby36l5vgQ&_nc_ss=7b689&oh=00_Af8_uXIMQYRbuop7fEglaHyQvGq6stANxnayRoGqdFHayw&oe=6A47CB01,hojetemjp,reel
DZ_RErqBeXo,https://www.instagram.com/reel/DZ_RErqBeXo/,2026-06-25T00:21:54.000Z,1782346914000,,,,"""Sim, o maior e melhor São João do mundo é aqui na terrinha! 👏🏾🇧🇷🤩"".",https://scontent.cdninstagram.com/v/t51.82787-15/731350615_18093386003630827_9141401096205150503_n.jpg?stp=cmp1_dst-jpg_e35_s640x640_tt6&_nc_cat=105&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=L6EQnk8qpokQ7kNvwHOJjE5&_nc_oc=AdqagnynvJARVwe1iD-DCzBNoGYkRPybIHP-6MRo2gEO2T7e0CVHDpGSgA4rAFM2GAM2YMocpMhXntVXm9MePBcZ&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=1JR-0h4bVYRL_cfWAQ4-dg&_nc_ss=7b689&oh=00_Af_0emSNYgGEdvlr-RkcRwZ-3QFjtuulZsU-iqYP21OZiw&oe=6A47DD3C,hojetemjp,reel
DZ9BIpZhELD,https://www.instagram.com/reel/DZ9BIpZhELD/,2026-06-24T03:23:34.000Z,1782271414000,2938,,,"""🚨As vezes a gente tem que olhar para o problema e dizer: eu vou é para @joaopessoapboficial 😂"".",https://scontent.cdninstagram.com/v/t51.82787-15/729778095_18604166644000031_3868039012696764165_n.jpg?stp=cmp1_dst-jpg_e35_s640x640_tt6&_nc_cat=103&ccb=7-5&_nc_sid=18de74&_nc_aid=0&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=Ax8igZo5OQEQ7kNvwHqo56n&_nc_oc=AdrG5UDy0Wz5EsAu2RZ-RYqfUe0NVFptG2xUZE_acsVX3AQQwLHAql5hX8ujqePa9BVDGFHaXv1TbK6U2J1Om6vm&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=JHSUU2TOYyw7pLikmWPTqA&_nc_ss=7b689&oh=00_Af87WYOJzcKgj3ANbnDH9XKOy4n72T7kXW8SaFTAehe7Mw&oe=6A47C8C2,hojetemjp,reel
